Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
Nicotine Activity on Dopaminergic Neurons (Wikipathways)	-3.052966866	6.184815857	-1.259206726	0.233575836	0.531587497	-5.46605197	"CDK5,ADCY2,CHRNA3,CHRNA4,CHRNA5,CHRNB2,DDC,DRD2,DRD3,DRD4,GNAI1,GNB1,KCNK3,KCNK9,GNG2,PPP1CA,PRKACA,SLC18A2,TH,PPP1R1B,CHRNA6"
Peroxisome (KEGG)	-3.149391359	5.853363484	-1.255267559	0.23494961	0.531587497	-5.470580086	"ACOT8,ECI2,SLC25A17,PMVK,DHRS4,SLC27A2,PXMP4,CRAT,DAO,AGXT,ECH1,EHHADH,PAOX,EPHX2,ABCD1,ACSL1,ACSL3,ACSL4,ABCD2,ACSL6,MLYCD,AMACR,MPV17L,PRDX5,HACL1,DECR2,ACAA1,HMGCL,HSD17B4,IDH1,IDH2,GSTK1,NUDT19,MPV17,MVK,NOS2,PRDX1,ACOX1,HAO2,PIPOX,ACSL5,PEX1,PEX6,PEX7,PEX10,PEX12,PEX13,PEX14,PHYH,HAO1,CROT,PEX26,FAR2,PECR,BAAT,PEX19,ABCD3,ABCD4,PXMP2,PEX2,PEX5,SCP2,SOD1,SOD2,XDH,ACOX2,ACOX3,NUDT12,FAR1,GNPAT,CAT,PEX3,DDO,AGPS,PEX11B,PEX11A,PEX11G,PEX16"
Synaptic Transmission (Reactome)	-3.454805077	6.632378008	-1.254719129	0.235141389	0.531587497	-5.471209676	"ABAT,ACHE,ACTN2,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AKAP5,AKAP9,ALDH2,ALDH5A1,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,ARHGEF9,BRAF,CACNA1A,CACNA1B,CACNA1E,CACNA2D1,CACNA2D2,CACNA2D3,CACNB1,CACNB2,CACNB3,CACNB4,CACNG2,CACNG3,CACNG4,CACNG8,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CHAT,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,COMT,CPLX1,CREB1,DDC,DLG1,DLG3,DLG4,DNAJC5,EPB41L1,GABBR1,GABBR2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG2,GABRG3,GABRR1,GABRR2,GABRR3,GAD1,GAD2,GJA10,GJC1,GJD2,GLS,GLS2,GLUL,GNAI1,GNAI2,GNAI3,GNAL,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIP1,GRIP2,HRAS,HSPA8,KCNJ10,KCNJ12,KCNJ15,KCNJ16,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ9,MAOA,MAPK1,MDM2,MYO6,NCALD,NEFL,NSF,PANX1,PANX2,PDPK1,PICK1,PLCB1,PLCB2,PLCB3,PRKACB,PRKCA,PRKCB,PRKCG,RAB3A,RAF1,RASGRF1,RASGRF2,RIMS1,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,RRAS,SLC17A7,SLC18A2,SLC18A3,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7,SLC22A2,SLC32A1,SLC38A1,SLC38A2,SLC5A7,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SLC6A3,SNAP25,STX1A,STXBP1,SYN1,SYN2,SYN3,SYT1,TH,UNC13B,VAMP2"
"{CHRNA1,13} (Static Module)"	-2.70918361	4.771277096	-1.250731623	0.236539561	0.532845345	-5.47578113	"ATP6V1D,CACNA1G,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNB2,CHRNB3,CHRNB4,TAS2R16,TREX2"
"{NFKB1,33} (Static Module)"	-3.252030375	6.389179102	-1.245612875	0.238344184	0.533721365	-5.481633601	"ANKRD28,CSF3,CSN2,CSRP1,GLG1,IER3,IQGAP1,IQGAP2,NFKB1,NFKB2,NFKBIA,NFKBIB,NFKBIE,NFKBIL1,NFKBIZ,NFRKB,PAWR,PDCD2,PIGR,PTPA,PTX3,MOK,REL,RELA,RELB,RNF25,RSF1,SAA1,SELE,TNIP2,UACA,USP11,USP2"
mRNA surveillance pathway (KEGG)	-3.577363387	6.709157804	-1.244203207	0.238843102	0.533721365	-5.483242186	"ALYREF,SRRM1,SAP18,NXF1,HBS1L,CPSF4,PAPOLA,RNPS1,CLP1,NUDT21,CPSF6,MSI2,PABPC4L,PABPC5,CSTF1,CSTF2,CSTF3,ETF1,CASC3,NCBP2,ACIN1,SMG1,CSTF2T,SMG6,SMG5,GSPT2,UPF2,DAZAP1,PABPC1,PPP2R3B,NXT1,GSPT1,CPSF1,PABPC1L2A,PABPN1L,MAGOH,MSI1,NCBP1,PABPC3,PCF11,CPSF3,PELO,CPSF2,PNN,PPP2R3C,MAGOHB,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP2R2D,NXT2,NXF5,NXF3,NXF2,PAPOLB,UPF1,PABPC1L2B,PAPOLG,UPF3B,UPF3A,NXF2B,DDX39B,CPSF7,PABPC1L,PABPN1,FIP1L1,SYMPK,PYM1,RNMT,RNGTT,PABPC4,EIF4A3,SMG7,RBM8A"
Viral myocarditis (KEGG)	-2.536830942	7.575370789	-1.241992388	0.239627258	0.533721365	-5.485762232	"NA,CXADR,CD55,DAG1,DMD,EIF4G1,EIF4G2,MYH15,ABL1,FYN,ABL2,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,ITGAL,ITGB2,LAMA2,MYH1,MYH2,MYH3,MYH4,MYH6,MYH7,MYH8,MYH9,MYH10,MYH11,CYCS,PRF1,MYH7B,RAC1,RAC2,RAC3,CCND1,ACTB,BID,SGCA,SGCB,SGCD,SGCG,NA,ACTG1,MYH14,CASP3,CASP8,CASP9,CAV1,EIF4G3,MYH13,CD28,CD80,CD86,CD40,CD40LG"
Lysosome (KEGG)	-2.933218859	7.135273338	-1.240097246	0.240301088	0.533721365	-5.487919779	"AP1M2,AP3S2,TCIRG1,NPC2,AP4B1,CTSC,AP3M2,AP4S1,AP1S1,AP3S1,TPP1,CLN3,CLN5,CLTA,CLTB,CLTC,AP1S3,HGSNAT,CTNS,CTSB,CTSD,CTSE,CTSG,CTSH,CTSK,CTSL,CTSV,CTSO,CTSS,CTSW,CTSZ,AP1B1,AP1G1,AGA,DNASE2,ABCA2,ARSG,GGA2,GGA3,AP4E1,ABCB9,ATP6V0A2,PLA2G15,ATP6V0D2,FUCA1,GAA,MFSD8,GALC,GALNS,GGA1,GBA,SLC17A5,AP3M1,LAMP3,GLA,GLB1,GM2A,GNS,SUMF1,GUSB,HEXA,HEXB,HYAL1,IDS,IDUA,IGF2R,LAMP1,LAMP2,LIPA,M6PR,ARSA,ARSB,MAN2B1,MANBA,ASAH1,NAGA,NAGLU,NEU1,NPC1,SLC11A2,ATP6V0A4,NAGPA,ATP6V1H,ATP6V0C,ACP2,ATP6V0B,ATP6V0A1,ATP6AP1,ACP5,CTSA,LAPTM4B,PPT1,LGMN,PSAP,MCOLN1,DNASE2B,SORT1,SGSH,SLC11A1,SMPD1,PSAPL1,LAPTM5,GNPTAB,AP3B2,CLTCL1,GNPTG,AP3B1,CTSF,CD164,AP1S2,AP1M1,AP3D1,ATP6V0D1,AP4M1,PPT2,NAPSA,SCARB2,ENTPD4,CD63,CD68,LAPTM4A"
"{INS,35} (Static Module)"	-2.935806319	6.622990262	-1.228058117	0.244617214	0.537754168	-5.50156815	"DAD1,DDOST,EDEM1,INS,NOX4,RPN1,RPN2,SEC11A,SEC11C,SEC61A1,SEC61A2,SEC61B,SEC61G,SLC30A5,SLC30A6,SLC30A7,SPCS1,SPCS2,SPCS3,SRP14,SRP19,SRP54,SRP68,SRP72,SRP9,SRPRA,SRPRB,SSR1,SSR2,SSR3,SSR4,STT3A,STT3B,TRAM1,TRAM2"
Signaling of Hepatocyte Growth Factor Receptor (Wikipathways)	-3.233566512	6.907189138	-1.226356432	0.245232249	0.537754168	-5.503489221	"MAP4K1,CRK,CRKL,DOCK1,ELK1,PTK2B,FOS,GAB1,GRB2,RAPGEF1,HGF,HRAS,ITGA1,ITGB1,JUN,PAK1,PIK3CA,MAPK1,MAPK3,MAPK8,MAP2K1,MAP2K2,PTEN,PTK2,PTPN11,PXN,RAF1,RAP1A,RAP1B,RASA1,SOS1,SRC,STAT3"
Protein export (KEGG)	-2.543757311	6.963066665	-1.225550282	0.245524044	0.537754168	-5.5043986	"SEC61B,SEC63,IMMP1L,SEC11A,SEC61G,SPCS1,SEC61A1,HSPA5,OXA1L,SEC61A2,SRPRB,SPCS3,SRP9,SRP14,SRP19,SRP54,SRP68,SRP72,SRPRA,SEC62,IMMP2L,SEC11C,SPCS2"
"{CBX4,10} (Static Module)"	-3.498967745	5.540621836	1.222072888	0.246785902	0.537754168	-5.508316121	"BMI1,CBX2,CBX4,CBX7,CBX8,EHMT1,EHMT2,MLLT3,RING1,RYBP"
SNARE interactions in vesicular transport (KEGG)	-3.591531592	5.35717269	-1.220303408	0.247429983	0.537754168	-5.510306336	"STX6,BET1,VTI1B,YKT6,VAMP5,STX1B,SNAP47,VTI1A,STX2,STX19,BET1L,STX18,STX17,USE1,SNAP25,BNIP1,STX1A,STX3,STX4,STX5,VAMP1,VAMP2,VAMP7,STX7,VAMP8,VAMP4,STX16,STX11,STX10,SNAP23,VAMP3,SNAP29,STX8,GOSR1,SEC22B,GOSR2"
Glucuronidation (Wikipathways)	-2.842438725	5.267521705	-1.219270403	0.24780661	0.537754168	-5.511467196	"NA,UGT2B11,UGT2A1,HK1,PGM1,PGM3,PGM5,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,PGM2,UGDH,UGP2,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3"
B Cell Receptor up reg. targets (Netpath)	-3.440268547	6.363558256	-1.218566434	0.248063534	0.537754168	-5.51225787	"COPB2,EGR1,COX7B,EGR2,TNFRSF13C,TLR10,TNFAIP3,EGR2,TNFRSF10B,CTNNB1,CDKN1B,CDK4,CFLAR,CGA,CDK2,CHD3,CDK6,CDKN3,EGR1,TLR9,DYNLL1,DDR2,DUSP8,CXCR6,CYP1B1,DAPK1,ACKR1,DDIT3,DGKZ,ELOC,CXCL9,SRP68,CSE1L,CSNK1A1,CSNK1E,E2F3,EBAG9,DHFR,CX3CR1,CXADR,CXCL10,TGFB1,DOCK1,CCND3,BCAR3,BCL2A1,BCL2L11,BCL2L1,BCL2,BDKRB2,BIK,BIRC3,USP5,UBE2L6,UBE2M,BMP8A,UBE2A,TYROBP,PPP2R3C,ATF4,ASS1,YES1,ADCYAP1,ADD1,AIF1,AIM2,AKAP1,AKT2,YWHAB,ANP32B,ARAF,WDR45,ARHGEF1,VDR,ARL3,ASGR2,CALB1,TXNDC9,CAPZA2,NA,TRAF1,TRADD,CD44,CD48,CD59,CD69,NR4A1,TP53,CD86,TP53BP2,TNF,CDK13,CDC37,TNFRSF8,TRAIP,CCR1,TRAIP,CAT,CCL16,CCL22,CCL2,TXK,CCL3,CCL5,CCNA1,TRIP6,TRIP13,TRAF5,CCNE1,CCNG2,CCNT2,CDC6,SRI,REV3L,LIMS3,RALA,RAG2,RAG1,MAP2K3,MAP2K5,MAP2K7,RAB9A,RAB5A,MAPK3,MAPK7,RAB35,MAPRE1,MCL1,LECT2,LDLR,LDB2,RBM5,ITGA7,ITGA8,RBBP4,JAK1,JUNB,JUN,KARS,NA,KSR1,LAMA3,LAT,RARB,LCP2,MKNK1,MRPS6,NVL,OXTR,PSMB8,TP53AIP1,PSEN2,CYTH3,PRKG1,PDE7A,PGF,PHF20,PIM1,PIP4K2A,PLXNA1,PPP3CB,NRGN,NR4A2,NR1H3,MT1B,PTPRR,PTPRF,MYC,MYD88,MYL2,MYLK,MYO5A,PTH1R,NEK4,NFATC1,PTGES,NMI,NR1D2,MED1,RFFL,EIF2AK2,GABRP,GAK,GAS1,SH3GL3,GC,GNA11,GNA15,GNAL,GNAT1,SH3GL1,HCAR3,GPR19,GRIA2,GRIK3,SKP1,GAB1,SIPA1,ELF4,EPHA2,SOCS2,EREG,SMAD1,SLC22A1,FADD,FAIM,SLC16A5,FGFR3,FLI1,FLII,FOS,FOS,SEC63,RYK,IGFBP3,RNF13,IL10,IL11RA,RING1,RHOB,IL2RA,IL4R,IL6R,RGS5,IGF2BP3,IMPA2,INPP5D,RGS12,RPL15,IFNGR2,IFNGR1,GUK1,HAL,RXRG,HCK,RUNX1,HNRNPK,HNRNPUL1,ICAM1,ID3,IDE,IER2,IFITM1,ROCK1,IFNAR1,IRF4"
Triacylglyceride Synthesis (Wikipathways)	-3.175800898	6.46228035	-1.21415775	0.249677376	0.538351928	-5.517201695	"AGPAT1,AGPAT2,MOGAT1,GK,GK2,GPD1,MOGAT3,LIPC,LIPE,LPL,AGPAT5,AGPAT3,AGPAT4,PNPLA2,GPAM,MOGAT2,GNPAT,DGAT2,LIPF,AGPS,PLPP1,PLPP2,PLPP3,DGAT1"
Heme Biosynthesis (Wikipathways)	-3.274338223	5.63669204	-1.213169624	0.250040232	0.538351928	-5.518307902	"CPOX,ALAD,ALAS1,ALAS2,FECH,HMBS,PPOX,UROD,UROS"
Prion diseases (KEGG)	-3.046198922	7.341810152	-1.206069762	0.252659752	0.542147875	-5.52623609	"STIP1,EGR1,ELK1,FYN,HSPA1A,HSPA5,IL1A,IL1B,IL6,LAMC1,NCAM1,NCAM2,NOTCH1,PRKACA,PRKACB,PRKACG,MAPK1,MAPK3,MAP2K1,MAP2K2,PRKX,PRNP,BAX,CCL5,SOD1,C1QA,C1QB,C1QC,C5,C6,C7,C8A,C8B,C8G,C9"
Chagas disease (American trypanosomiasis) (KEGG)	-3.199482271	6.594682129	-1.200116487	0.25487297	0.54393265	-5.532856634	"AKT3,TLR6,ADCY1,CHUK,MAPK14,TICAM1,ACE,AKT1,AKT2,PLCB1,FOS,PIK3R5,GNA11,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAO1,GNAQ,GNAS,IFNB1,IFNG,IFNGR1,IFNGR2,FAS,IKBKB,IL1B,IL2,FASLG,IL6,CXCL8,IL10,IL12A,IL12B,IRAK1,JUN,SMAD2,SMAD3,CCL3L3,MYD88,NFKB1,NFKBIA,NOS2,SERPINE1,IRAK4,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLCB2,PLCB3,PLCB4,TLR9,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R2D,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,RELA,BDKRB2,MAPK12,CCL2,CCL3,CCL3L1,CCL5,MAP2K4,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TLR2,TLR4,C1QA,TNF,C1QB,TNFRSF1A,C1QC,C3,TRAF6,CALR,CASP8,PIK3R3,IKBKG,FADD,CFLAR,CD3D,CD3E,CD3G,CD247,GNA14"
IL-7 up reg. targets (Netpath)	-2.690318402	6.668676601	-1.199213229	0.255210106	0.54393265	-5.533858952	"SLC3A2,FAS,CCL8,CCL16,CCL17,KLRK1,CD86,IL24,STAT5B,STAT5A,UBC,RBBP4,LITAF,CDKN2D,GSTA2,TRAF3,FASTK,CDK18,CASP10,NA,BRAF,MYC,CCL19,CCL22,CXCL1,BCL2L1,PAX5,VEGFD,IL9R,KLF5,TNFSF8,EBF1,BCL2,IL2RA,CXCR4,IL2,IL4,CD80,CCL8,MCL1,NCAM1,IL3,CXCL2,CXCL3,CXCL5,PPBP,CD44,TFRC,LAG3,IGLL1,CD40LG,CCL5,CCL4,NA,FCER2,CXCL8,CD19"
Metabolism of porphyrins (Reactome)	-3.142324528	5.311832519	-1.195636253	0.256548659	0.544950674	-5.537822553	"ALAD,ALAS1,ALAS2,BLVRA,BLVRB,CPOX,FECH,HMBS,HMOX1,HMOX2,PPOX,UGT1A1,UROD,UROS"
"{BCLAF1,25} (Static Module)"	-3.001224528	8.095505456	-1.191787544	0.257995087	0.546190267	-5.542077151	"ATRX,BAZ2B,BCLAF1,CCNL1,CSDE1,DMTF1,HNRNPH3,HNRNPDL,C2CD5,KTN1,METAP2,NKTR,PDCD4,PNN,PPIG,PSIP1,RBM25,SERBP1,U2SURP,SRRM2,TCERG1,TTC37,UBXN4,ZNF451,ZNF638"
"{PAX6,19} (Static Module)"	-3.082533807	7.135517347	-1.18721037	0.259723656	0.546486622	-5.547123362	"ANK2,CHL1,GSX2,HOXA2,IAPP,IPO13,LHX6,MAFA,NEUROG3,NFX1,NFXL1,NKX2-2,PAX4,PAX6,PHOX2A,PHOX2B,SOX3,TEAD2,VSX2"
Signaling in Immune system (Reactome)	-3.069891093	6.464757076	-1.18368938	0.261059558	0.546486622	-5.550995021	"ADAR,AGER,AKT1,AKT2,AKT3,JAML,APP,ATF1,ATF2,ATG12,ATG5,B2M,BCL10,BLNK,BTLA,BTRC,C1QA,C1QB,C1QC,C1R,C1S,C2,C3,C4A,C4B,C5,C6,C7,C8A,C8B,C8G,C9,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAPZA1,CAPZA2,CARD11,CASP1,CASP10,CASP8,CBL,CD14,CD160,CD180,CD19,CD200,CD200R1,CD226,CD247,CD274,CD28,CD34,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD44,CD80,CD81,CD86,CD8A,CD8B,CD96,CDC42,CDH1,CDK1,CFB,CFD,CHUK,CIITA,CREB1,CREBBP,CRK,CRKL,CRP,CRTAM,CSF2,CSF2RA,CSF2RB,CSK,CTLA4,CUL1,CXADR,CYLD,TKFC,DDOST,DDX58,DHX58,DUSP3,DUSP4,DUSP6,DUSP7,ECSIT,EEA1,EGR1,ELK1,ENAH,EP300,EVL,FADD,FCGR1A,FCGR1B,FCGR2B,FCGR3A,FOS,FYB1,FYN,GAB2,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GLYCAM1,GRAP2,GRB2,HCK,HCST,HERC5,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,HMGB1,HRAS,ICAM1,ICAM2,ICAM3,ICAM4,ICOS,ICOSLG,IFI27,IFI30,IFI35,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNAR1,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IGHV1-46,IGHV3-23,IGHV7-81,IGKC,IGKV1-39,IGKV1-5,IGKV1D-16,IGKV2-30,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV4-1,IGKV5-2,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLV@,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-51,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-18,IGLV2-23,IGLV2-33,IGLV3-12,IGLV3-16,IGLV3-22,IGLV3-25,IGLV3-27,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV7-43,IGLV7-46,IGLV8-61,IKBKB,IKBKE,IKBKG,IL18,IL1A,IL1B,IL1R1,IL1R2,IL1RAP,IL1RN,IL2,IL2RA,IL2RB,IL2RG,IL3,IL3RA,IL5,IL5RA,INPP5D,INPPL1,IP6K2,IRAK1,IRAK2,IRAK3,IRAK4,IRF1,IRF2,IRF3,IRF4,IRF5,IRF6,IRF7,IRF8,IRF9,ISG15,ISG20,ITCH,ITGA4,ITGAL,ITGB1,ITGB2,ITGB7,ITK,JAK1,JAK2,JAK3,JUN,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DS1,KIR2DS2,KIR3DL1,KIR3DL2,KLRC1,KLRD1,KLRG1,KLRK1,LAT,LBP,LCK,LCP2,LGALS3,LILRA1,LILRB1,LILRB2,LILRB3,LILRB4,LILRB5,LY86,LY96,LYN,MADCAM1,MALT1,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K6,MAP2K7,MAP3K1,MAP3K14,MAP3K3,MAP3K7,MAP3K8,MAPK1,MAPK10,MAPK11,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MAPKAP1,MAPKAPK2,MAPKAPK3,MASP1,MASP2,MAVS,MBL2,MEF2A,MEF2C,NA,MICB,MLST8,MT2A,MTOR,MX1,MX2,MYD88,NCAM1,NCK1,NFKB1,NFKB2,NFKBIA,NFKBIB,NLRC5,NLRX1,NOD1,NOD2,OAS1,OAS2,OAS3,OASL,OTUD5,PAG1,PAK1,PAK2,PCBP2,PDCD1,PDCD1LG2,PDPK1,PELI1,PELI2,PELI3,PIAS1,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PIK3R4,PIN1,PLCG1,PML,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PRKACA,PRKACB,PRKACG,PRKCD,PRKCQ,PRKCSH,PRKG1,PSMB8,PTAFR,PTEN,PTPN1,PTPN11,PTPN2,PTPN6,PTPRC,PVR,NECTIN2,RAC1,RAET1E,RAF1,RAP1A,RAP1B,RAP1GAP,RAP1GAP2,RAPGEF1,RAPGEF3,RAPGEF4,RASGRP1,RASGRP2,RBX1,RELA,RICTOR,RIPK1,RIPK2,RIPK3,RNASEL,RNF125,RNF135,RPS27A,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,S100A12,S100B,SAA1,SELL,SHC1,SIGIRR,SIKE1,SIPA1,SKP1,SOCS1,SOCS3,SOS1,SP100,SQSTM1,SRC,STAT1,STAT2,STAT5A,STAT5B,SUMO1,SYK,TAB1,TAB2,TAB3,TANK,TAX1BP1,TBK1,TRA,TRB,THEM4,TICAM1,TICAM2,TIRAP,TLR1,TLR10,TLR2,TLR3,TLR4,TLR5,TLR6,TLR7,TLR8,TLR9,TNFAIP3,TNFRSF14,TNIP2,TOLLIP,TRAC,TRAF2,TRAF3,TRAF6,TRAT1,TRAV19,TRAV8-4,TRBC1,TRBV12-3,TRIB3,TRIM25,TYK2,TYROBP,UBA52,UBA7,UBB,UBC,UBE2D1,UBE2D2,UBE2D3,UBE2K,UBE2L6,UBE2N,UBE2V1,ULBP1,ULBP2,ULBP3,USP18,VASP,VAV1,VCAM1,WAS,XAF1,YES1,YWHAB,YWHAZ,ZAP70,RBSN,CR2,HSPD1"
Vibrio cholerae infection (KEGG)	-2.800475976	7.433719618	-1.182986412	0.261326918	0.546486622	-5.551766942	"TCIRG1,CFTR,ADCY3,KDELR1,SEC61B,KDELR2,KDELR3,ADCY9,ATP6V1G3,ATP6V0E2,SEC61G,ATP6V0A2,ATP6V0D2,ATP6V1C2,GNAS,SEC61A1,ERO1A,ARF1,KCNQ1,MUC2,ATP6V0A4,ATP6V1D,ATP6V1H,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V0C,ATP6V1C1,ATP6V1E1,ATP6V0B,PLCG1,PLCG2,ATP6V1G2,ATP6V0A1,ATP6AP1,SEC61A2,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,PRKX,ACTB,SLC12A2,TJP1,ACTG1,ATP6V0E1,ATP6V1E2,ATP6V0D1,ATP6V1F,TJP2,ATP6V1G1,PDIA4"
T Cell Receptor down reg. targets (Netpath)	-2.452281697	7.974284522	-1.182299491	0.261588383	0.546486622	-5.552520901	"CLU,CORT,DPH1,STOM,BPTF,FCER1G,FYB1,GOLGB1,GUCY1B3,HSPA1A,IGFBP5,IL7R,IL10RB,IL17A,IRF7,JUN,CLK1,CDKN2A,UHRF1,TOP2A,CCND3,RB1,TGFB1,TSC22D3,SCD,NFKBIA,ADORA1,SLC25A5,ANXA1,ARG2,ARHGDIB,BTG1,CDKN1B,LSP1,XRCC6,GTF2IRD1,URB2,HTATIP2,PLA2R1,ATP11B,CHST11,PCYOX1,IL20RA,STEAP2,CSF2,TNF,CCR1,NA,CCR5,CASP1,NPIPA1,TRIM24,BLZF1,MBD1,PALM,PTPA,RAC1,RASGRF1,RP2,CLIP1,SHMT1,MAP3K12,PAX8,LTBP4,HIST1H2AC,ZRSR2,PRPF8,IFITM1"
Shigellosis (KEGG)	-2.728127108	7.413103555	-1.173530224	0.264944359	0.547684667	-5.562116354	"ARPC5,ARPC4,ARPC3,ARPC1B,ARPC2,WASF2,NOD1,MAD2L2,ARPC1A,CHUK,CRK,CRKL,MAPK14,CSK,DIAPH1,DOCK1,CTTN,FBXW11,ABL1,HCLS1,PFN3,IKBKB,CXCL8,ITGA5,ITGB1,PFN4,RHOG,NFKB1,NFKBIA,NFKBIB,PFN1,PFN2,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,RAC1,RELA,ACTB,ROCK1,MAPK12,NOD2,NA,ACTG1,U2AF1,UBE2D2,VCL,WAS,ARPC5L,IKBKG,RIPK2,WASF1,BTRC,WASL,ATG5,ROCK2,CD44,ELMO1,CDC42"
